warning: no usable GPU found, --gpu-layers option will be ignored
warning: one possible reason is that llama.cpp was compiled without GPU support
warning: consult docs/build.md for compilation instructions
0.00.002.335 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.002.498 I srv          init: The UI is disabled
0.00.002.507 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.002.565 W srv  llama_server: -----------------
0.00.002.573 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.002.573 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.002.573 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.002.573 W srv  llama_server: -----------------
0.00.003.932 I srv    load_model: loading model '/workspace/scratch/b33fb38091a9/kyc-local-model/qwen2.5-1.5b-instruct-q4_k_m.gguf'
0.00.381.986 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.01.621.270 I cmn          init: llama threadpool init, n_threads = 6
0.01.886.077 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
0.01.890.535 I srv  llama_server: model loaded
0.01.890.553 I srv  llama_server: listening on http://127.0.0.1:8765
0.02.050.611 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.02.050.703 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.11.333.491 I slot print_timing: id  0 | task 0 | prompt eval time =    6716.59 ms /  1348 tokens (    4.98 ms per token,   200.70 tokens per second)
0.11.333.505 I slot print_timing: id  0 | task 0 |        eval time =    2566.16 ms /   104 tokens (   24.91 ms per token,    40.14 tokens per second)
0.11.333.506 I slot print_timing: id  0 | task 0 |       total time =    9282.75 ms /  1452 tokens
0.11.333.513 I slot print_timing: id  0 | task 0 |    graphs reused =        103
0.11.333.618 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1451, truncated = 0
0.11.345.954 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.302 (> 0.100 thold), f_keep = 0.179
0.11.367.333 I slot launch_slot_: id  0 | task 105 | processing task, is_child = 0
0.17.275.603 I slot print_timing: id  0 | task 105 | n_gen =    124, tg =  40.76 t/s, tg_3s =  41.09 t/s
0.20.287.933 I slot print_timing: id  0 | task 105 | n_gen =    240, tg =  39.64 t/s, tg_3s =  38.51 t/s
0.23.296.331 I slot print_timing: id  0 | task 105 | n_gen =    369, tg =  40.72 t/s, tg_3s =  42.88 t/s
0.26.308.265 I slot print_timing: id  0 | task 105 | n_gen =    483, tg =  40.00 t/s, tg_3s =  37.85 t/s
0.26.971.350 I slot print_timing: id  0 | task 105 | prompt eval time =    2890.80 ms /   601 tokens (    4.81 ms per token,   207.90 tokens per second)
0.26.971.426 I slot print_timing: id  0 | task 105 |        eval time =   12713.16 ms /   512 tokens (   24.88 ms per token,    40.19 tokens per second)
0.26.971.427 I slot print_timing: id  0 | task 105 |       total time =   15603.97 ms /  1113 tokens
0.26.971.428 I slot print_timing: id  0 | task 105 |    graphs reused =        611
0.26.971.887 I slot      release: id  0 | task 105 | stop processing: n_tokens = 1372, truncated = 0
0.26.986.764 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.288 (> 0.100 thold), f_keep = 0.190
0.27.011.254 I slot launch_slot_: id  0 | task 618 | processing task, is_child = 0
0.33.263.956 I slot print_timing: id  0 | task 618 | prompt eval time =    3531.12 ms /   643 tokens (    5.49 ms per token,   182.10 tokens per second)
0.33.263.970 I slot print_timing: id  0 | task 618 |        eval time =    2721.53 ms /   106 tokens (   25.92 ms per token,    38.58 tokens per second)
0.33.263.971 I slot print_timing: id  0 | task 618 |       total time =    6252.65 ms /   749 tokens
0.33.263.972 I slot print_timing: id  0 | task 618 |    graphs reused =        715
0.33.264.283 I slot      release: id  0 | task 618 | stop processing: n_tokens = 1008, truncated = 0
0.33.273.392 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.225 (> 0.100 thold), f_keep = 0.199
0.33.291.941 I slot launch_slot_: id  0 | task 725 | processing task, is_child = 0
0.38.790.236 I slot print_timing: id  0 | task 725 | prompt eval time =    3397.99 ms /   693 tokens (    4.90 ms per token,   203.94 tokens per second)
0.38.790.256 I slot print_timing: id  0 | task 725 |        eval time =    2100.26 ms /    92 tokens (   23.08 ms per token,    43.33 tokens per second)
0.38.790.256 I slot print_timing: id  0 | task 725 |       total time =    5498.24 ms /   785 tokens
0.38.790.257 I slot print_timing: id  0 | task 725 |    graphs reused =        805
0.38.790.347 I slot      release: id  0 | task 725 | stop processing: n_tokens = 985, truncated = 0
0.38.797.209 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.322 (> 0.100 thold), f_keep = 0.260
0.38.810.775 I slot launch_slot_: id  0 | task 818 | processing task, is_child = 0
0.43.348.111 I slot print_timing: id  0 | task 818 | prompt eval time =    2570.80 ms /   538 tokens (    4.78 ms per token,   209.27 tokens per second)
0.43.348.125 I slot print_timing: id  0 | task 818 |        eval time =    1966.49 ms /    95 tokens (   20.92 ms per token,    47.80 tokens per second)
0.43.348.126 I slot print_timing: id  0 | task 818 |       total time =    4537.29 ms /   633 tokens
0.43.348.127 I slot print_timing: id  0 | task 818 |    graphs reused =        898
0.43.348.195 I slot      release: id  0 | task 818 | stop processing: n_tokens = 888, truncated = 0
0.43.356.854 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.253 (> 0.100 thold), f_keep = 0.288
