warning: no usable GPU found, --gpu-layers option will be ignored
warning: one possible reason is that llama.cpp was compiled without GPU support
warning: consult docs/build.md for compilation instructions
0.00.002.229 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.002.314 I srv          init: The UI is disabled
0.00.002.323 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.002.376 W srv  llama_server: -----------------
0.00.002.383 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.002.384 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.002.384 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.002.384 W srv  llama_server: -----------------
0.00.003.649 I srv    load_model: loading model '/workspace/scratch/b33fb38091a9/kyc-local-model/qwen2.5-1.5b-instruct-q4_k_m.gguf'
0.00.342.004 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.01.510.526 I cmn          init: llama threadpool init, n_threads = 6
0.01.601.252 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
0.01.605.347 I srv  llama_server: model loaded
0.01.605.365 I srv  llama_server: listening on http://127.0.0.1:8765
0.02.279.888 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.02.279.969 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.11.523.449 I slot print_timing: id  0 | task 0 | prompt eval time =    6471.07 ms /  1216 tokens (    5.32 ms per token,   187.91 tokens per second)
0.11.523.463 I slot print_timing: id  0 | task 0 |        eval time =    2772.36 ms /   104 tokens (   26.92 ms per token,    37.15 tokens per second)
0.11.523.463 I slot print_timing: id  0 | task 0 |       total time =    9243.43 ms /  1320 tokens
0.11.523.512 I slot print_timing: id  0 | task 0 |    graphs reused =        102
0.11.523.908 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1319, truncated = 0
0.11.536.474 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.176 (> 0.100 thold), f_keep = 0.097
0.11.610.790 I slot launch_slot_: id  0 | task 105 | processing task, is_child = 0
0.16.837.798 I slot print_timing: id  0 | task 105 | prompt eval time =    2945.52 ms /   601 tokens (    4.90 ms per token,   204.04 tokens per second)
0.16.837.815 I slot print_timing: id  0 | task 105 |        eval time =    2281.43 ms /   106 tokens (   21.73 ms per token,    46.02 tokens per second)
0.16.837.815 I slot print_timing: id  0 | task 105 |       total time =    5226.95 ms /   707 tokens
0.16.837.817 I slot print_timing: id  0 | task 105 |    graphs reused =        205
0.16.838.066 I slot      release: id  0 | task 105 | stop processing: n_tokens = 834, truncated = 0
0.16.850.929 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.166 (> 0.100 thold), f_keep = 0.153
0.16.874.631 I slot launch_slot_: id  0 | task 212 | processing task, is_child = 0
0.22.185.498 I slot print_timing: id  0 | task 212 | prompt eval time =    3046.30 ms /   643 tokens (    4.74 ms per token,   211.08 tokens per second)
0.22.185.512 I slot print_timing: id  0 | task 212 |        eval time =    2264.51 ms /   106 tokens (   21.57 ms per token,    46.37 tokens per second)
0.22.185.513 I slot print_timing: id  0 | task 212 |       total time =    5310.81 ms /   749 tokens
0.22.185.514 I slot print_timing: id  0 | task 212 |    graphs reused =        309
0.22.185.730 I slot      release: id  0 | task 212 | stop processing: n_tokens = 876, truncated = 0
0.22.196.718 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 20113091296
0.22.210.025 I slot launch_slot_: id  0 | task 319 | processing task, is_child = 0
0.27.969.241 I slot print_timing: id  0 | task 319 | prompt eval time =    3579.12 ms /   693 tokens (    5.16 ms per token,   193.62 tokens per second)
0.27.969.287 I slot print_timing: id  0 | task 319 |        eval time =    2180.01 ms /    92 tokens (   23.96 ms per token,    41.74 tokens per second)
0.27.969.288 I slot print_timing: id  0 | task 319 |       total time =    5759.13 ms /   785 tokens
0.27.969.289 I slot print_timing: id  0 | task 319 |    graphs reused =        398
0.27.969.950 I slot      release: id  0 | task 319 | stop processing: n_tokens = 853, truncated = 0
0.27.993.188 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.187 (> 0.100 thold), f_keep = 0.145
0.28.044.470 I slot launch_slot_: id  0 | task 412 | processing task, is_child = 0
0.32.644.180 I slot print_timing: id  0 | task 412 | prompt eval time =    2568.09 ms /   538 tokens (    4.77 ms per token,   209.49 tokens per second)
0.32.644.220 I slot print_timing: id  0 | task 412 |        eval time =    2031.57 ms /    90 tokens (   22.83 ms per token,    43.81 tokens per second)
0.32.644.220 I slot print_timing: id  0 | task 412 |       total time =    4599.66 ms /   628 tokens
0.32.644.222 I slot print_timing: id  0 | task 412 |    graphs reused =        486
0.32.644.337 I slot      release: id  0 | task 412 | stop processing: n_tokens = 751, truncated = 0
0.32.650.104 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.141 (> 0.100 thold), f_keep = 0.165
0.32.660.980 I slot launch_slot_: id  0 | task 503 | processing task, is_child = 0
0.37.853.558 I slot print_timing: id  0 | task 503 | prompt eval time =    3452.24 ms /   757 tokens (    4.56 ms per token,   219.28 tokens per second)
0.37.853.575 I slot print_timing: id  0 | task 503 |        eval time =    1740.29 ms /    88 tokens (   20.00 ms per token,    49.99 tokens per second)
0.37.853.575 I slot print_timing: id  0 | task 503 |       total time =    5192.53 ms /   845 tokens
0.37.853.577 I slot print_timing: id  0 | task 503 |    graphs reused =        572
0.37.853.641 I slot      release: id  0 | task 503 | stop processing: n_tokens = 968, truncated = 0
0.37.866.485 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 20128759201
0.37.879.218 I slot launch_slot_: id  0 | task 592 | processing task, is_child = 0
0.44.247.842 I slot print_timing: id  0 | task 592 | prompt eval time =    4189.02 ms /   882 tokens (    4.75 ms per token,   210.55 tokens per second)
0.44.247.858 I slot print_timing: id  0 | task 592 |        eval time =    2179.55 ms /    98 tokens (   22.47 ms per token,    44.50 tokens per second)
0.44.247.859 I slot print_timing: id  0 | task 592 |       total time =    6368.58 ms /   980 tokens
0.44.247.860 I slot print_timing: id  0 | task 592 |    graphs reused =        667
0.44.247.925 I slot      release: id  0 | task 592 | stop processing: n_tokens = 1048, truncated = 0
0.44.254.462 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.127 (> 0.100 thold), f_keep = 0.124
0.44.266.923 I slot launch_slot_: id  0 | task 691 | processing task, is_child = 0
0.51.655.999 I slot print_timing: id  0 | task 691 | prompt eval time =    4681.53 ms /   891 tokens (    5.25 ms per token,   190.32 tokens per second)
0.51.656.017 I slot print_timing: id  0 | task 691 |        eval time =    2707.50 ms /   106 tokens (   25.79 ms per token,    38.78 tokens per second)
0.51.656.017 I slot print_timing: id  0 | task 691 |       total time =    7389.02 ms /   997 tokens
0.51.656.019 I slot print_timing: id  0 | task 691 |    graphs reused =        770
0.51.656.088 I slot      release: id  0 | task 691 | stop processing: n_tokens = 1126, truncated = 0
0.51.664.736 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.143 (> 0.100 thold), f_keep = 0.115
0.51.719.603 I slot launch_slot_: id  0 | task 798 | processing task, is_child = 0
0.57.651.191 I slot print_timing: id  0 | task 798 | prompt eval time =    3799.84 ms /   776 tokens (    4.90 ms per token,   204.22 tokens per second)
0.57.651.219 I slot print_timing: id  0 | task 798 |        eval time =    2131.69 ms /   108 tokens (   19.92 ms per token,    50.19 tokens per second)
0.57.651.220 I slot print_timing: id  0 | task 798 |       total time =    5931.53 ms /   884 tokens
0.57.651.221 I slot print_timing: id  0 | task 798 |    graphs reused =        876
0.57.651.286 I slot      release: id  0 | task 798 | stop processing: n_tokens = 1013, truncated = 0
0.57.667.784 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 20148556846
0.57.723.882 I slot launch_slot_: id  0 | task 907 | processing task, is_child = 0
1.08.332.780 I slot print_timing: id  0 | task 907 | prompt processing, n_tokens =   2048, progress = 0.62, t =  10.61 s / 193.05 tokens per second
1.19.432.070 I slot print_timing: id  0 | task 907 | prompt eval time =   19703.16 ms /  3329 tokens (    5.92 ms per token,   168.96 tokens per second)
1.19.432.085 I slot print_timing: id  0 | task 907 |        eval time =    2004.97 ms /    63 tokens (   32.34 ms per token,    30.92 tokens per second)
1.19.432.086 I slot print_timing: id  0 | task 907 |       total time =   21708.13 ms /  3392 tokens
1.19.432.087 I slot print_timing: id  0 | task 907 |    graphs reused =        937
1.19.432.233 I slot      release: id  0 | task 907 | stop processing: n_tokens = 3394, truncated = 0
1.19.444.075 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 20170337793
1.19.701.852 I slot launch_slot_: id  0 | task 972 | processing task, is_child = 0
1.29.551.785 I slot print_timing: id  0 | task 972 | n_gen =    101, tg =  33.23 t/s, tg_3s =  33.56 t/s
1.29.631.116 I slot print_timing: id  0 | task 972 | prompt eval time =    6840.77 ms /  1275 tokens (    5.37 ms per token,   186.38 tokens per second)
1.29.631.129 I slot print_timing: id  0 | task 972 |        eval time =    3088.43 ms /   104 tokens (   29.98 ms per token,    33.35 tokens per second)
1.29.631.130 I slot print_timing: id  0 | task 972 |       total time =    9929.20 ms /  1379 tokens
1.29.631.132 I slot print_timing: id  0 | task 972 |    graphs reused =       1038
1.29.631.246 I slot      release: id  0 | task 972 | stop processing: n_tokens = 1381, truncated = 0
1.29.641.700 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.240 (> 0.100 thold), f_keep = 0.138
1.29.740.140 I slot launch_slot_: id  0 | task 1077 | processing task, is_child = 0
1.33.992.081 I slot print_timing: id  0 | task 1077 | prompt eval time =    3056.35 ms /   601 tokens (    5.09 ms per token,   196.64 tokens per second)
1.33.992.093 I slot print_timing: id  0 | task 1077 |        eval time =    1195.53 ms /    51 tokens (   23.91 ms per token,    41.82 tokens per second)
1.33.992.093 I slot print_timing: id  0 | task 1077 |       total time =    4251.88 ms /   652 tokens
1.33.992.094 I slot print_timing: id  0 | task 1077 |    graphs reused =       1087
1.33.992.154 I slot      release: id  0 | task 1077 | stop processing: n_tokens = 841, truncated = 0
1.34.000.790 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.228 (> 0.100 thold), f_keep = 0.226
1.34.024.354 I slot launch_slot_: id  0 | task 1129 | processing task, is_child = 0
1.39.653.695 I slot print_timing: id  0 | task 1129 | prompt eval time =    3252.06 ms /   643 tokens (    5.06 ms per token,   197.72 tokens per second)
1.39.653.714 I slot print_timing: id  0 | task 1129 |        eval time =    2377.22 ms /   106 tokens (   22.64 ms per token,    44.17 tokens per second)
1.39.653.714 I slot print_timing: id  0 | task 1129 |       total time =    5629.28 ms /   749 tokens
1.39.653.715 I slot print_timing: id  0 | task 1129 |    graphs reused =       1191
1.39.653.779 I slot      release: id  0 | task 1129 | stop processing: n_tokens = 938, truncated = 0
1.39.659.847 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.159 (> 0.100 thold), f_keep = 0.140
1.39.671.093 I slot launch_slot_: id  0 | task 1236 | processing task, is_child = 0
